latency,size
332,512
285,512
278,512
278,512
270,512
266,512
259,512
257,512
267,512
249,512
272,512
249,512
584,512
257,512
271,512
247,512
248,512
249,512
247,512
250,512
249,512
262,512
263,512
245,512
266,512
283,512
251,512
254,512
264,512
248,512
247,512
244,512
304,512
254,512
249,512
257,512
243,512
245,512
244,512
258,512
246,512
247,512
256,512
248,512
245,512
239,512
246,512
246,512
247,512
248,512
244,512
250,512
248,512
243,512
240,512
246,512
249,512
252,512
247,512
254,512
240,512
249,512
246,512
313,512
245,512
242,512
250,512
246,512
246,512
253,512
249,512
252,512
246,512
244,512
257,512
252,512
248,512
256,512
253,512
243,512
253,512
248,512
290,512
248,512
267,512
262,512
388,512
247,512
249,512
241,512
243,512
259,512
248,512
264,512
247,512
248,512
247,512
247,512
248,512
244,512
253,512
239,512
245,512
249,512
236,512
243,512
247,512
247,512
250,512
249,512
248,512
266,512
243,512
263,512
253,512
247,512
260,512
251,512
249,512
248,512
245,512
247,512
244,512
257,512
243,512
246,512
244,512
246,512
248,512
251,512
243,512
256,512
276,512
252,512
250,512
253,512
252,512
247,512
248,512
247,512
240,512
249,512
254,512
247,512
252,512
260,512
260,512
241,512
254,512
259,512
295,512
279,512
251,512
257,512
270,512
243,512
244,512
243,512
251,512
245,512
247,512
249,512
249,512
251,512
254,512
244,512
252,512
246,512
261,512
245,512
247,512
241,512
306,512
250,512
247,512
277,512
246,512
246,512
262,512
242,512
241,512
245,512
260,512
246,512
245,512
282,512
247,512
242,512
262,512
240,512
250,512
249,512
245,512
248,512
249,512
239,512
248,512
244,512
252,512
245,512
260,512
293,512
272,512
279,512
253,512
250,512
253,512
250,512
254,512
250,512
244,512
249,512
249,512
245,512
260,512
276,512
274,512
246,512
253,512
263,512
261,512
314,512
248,512
262,512
257,512
258,512
346,512
252,512
247,512
245,512
247,512
251,512
249,512
247,512
248,512
249,512
246,512
255,512
248,512
246,512
255,512
244,512
253,512
250,512
245,512
252,512
257,512
247,512
253,512
245,512
259,512
256,512
247,512
242,512
249,512
247,512
248,512
248,512
244,512
249,512
255,512
248,512
246,512
238,512
285,512
251,512
243,512
241,512
251,512
248,512
249,512
252,512
243,512
275,512
373,512
264,512
243,512
246,512
243,512
247,512
248,512
244,512
251,512
249,512
247,512
253,512
245,512
244,512
251,512
248,512
247,512
249,512
259,512
241,512
242,512
247,512
243,512
260,512
276,512
245,512
270,512
262,512
254,512
261,512
243,512
244,512
252,512
238,512
244,512
238,512
242,512
251,512
259,512
248,512
242,512
243,512
246,512
247,512
248,512
278,512
253,512
260,512
245,512
263,512
277,512
253,512
244,512
247,512
243,512
246,512
289,512
253,512
262,512
245,512
251,512
246,512
249,512
255,512
249,512
246,512
252,512
269,512
254,512
268,512
246,512
344,512
240,512
249,512
252,512
241,512
247,512
246,512
242,512
250,512
251,512
243,512
244,512
249,512
244,512
258,512
254,512
243,512
246,512
247,512
245,512
246,512
242,512
241,512
246,512
248,512
244,512
245,512
246,512
242,512
257,512
250,512
296,512
260,512
243,512
268,512
242,512
247,512
252,512
244,512
248,512
247,512
244,512
287,512
245,512
276,512
249,512
248,512
241,512
236,512
256,512
454,512
245,512
244,512
242,512
245,512
250,512
245,512
248,512
243,512
247,512
241,512
265,512
239,512
251,512
243,512
245,512
240,512
243,512
245,512
247,512
240,512
249,512
286,512
251,512
246,512
253,512
240,512
240,512
255,512
248,512
247,512
244,512
244,512
245,512
247,512
247,512
244,512
248,512
242,512
240,512
244,512
245,512
248,512
248,512
244,512
239,512
243,512
256,512
242,512
243,512
244,512
246,512
241,512
321,512
250,512
246,512
246,512
247,512
251,512
242,512
242,512
243,512
244,512
245,512
249,512
241,512
246,512
246,512
243,512
245,512
246,512
248,512
243,512
250,512
243,512
241,512
247,512
247,512
265,512
252,512
251,512
244,512
244,512
244,512
253,512
251,512
255,512
244,512
271,512
245,512
250,512
247,512
248,512
247,512
247,512
245,512
243,512
247,512
250,512
242,512
246,512
242,512
249,512
245,512
245,512
